Liquido,Al-Kiwi Smoothi,200,,,,,,,,,
STALL 3,Mumbai cha Classic Vada Pav,50,,,,,,,,,
STALL 3,Ghinnghat Vada Pav,60,,,,,,,,,
STALL 3,Achari Lotpot Vada Pav,60,,,,,,,,,
STALL 3,Chang of China Vada Pav,70,,,,,,,,,
STALL 3,Balle Balle Vada Pav,70,,,,,,,,,
STALL 3,Jaljata Jaljeera Beverage,50,,,,,,,,,
STALL 3,Mere Nimboo ka Lamonade Beverage,50,,,,,,,,,
STALL4,Butterscotch Shake,200,,,,,,,,,
Keventers,Strawberry Shake,200,,,,,,,,,
Keventers,Cold Coffee,200,,,,,,,,,
Keventers,Chocolate Oreo Shake,250,,,,,,,,,
STALL5,Hakka Noodles,200,,,,,,,,,
STALL5,Momos,150,,,,,,,,,
STALL5,Spring Roll,150,,,,,,,,,
STALL5,Koean Sev Puri,200,,,,,,,,,
STALL5,Hummus With Pita Or Lavash,250,,,,,,,,,
STALL5,Tandoori Paneer Tikka,250,,,,,,,,,
STALL5,Blackened Paneer Tikka,250,,,,,,,,,
STALL5,Chicked Momos,200,,,,,,,,,
STALL5,Tandoori Chicken Tikka,300,,,,,,,,,
STALL5,Murgh Malai Tikka,300,,,,,,,,,
